pmid	genes
11038181	MGM1|FZO1
12486115	MPS3
1469052	CMD1
2045414	NMT1
22718908	cdc20
26185649	UL40
28070485	SCN1A
29692967	SCN1A
32301730	SLC6A11
32493688	CRLF1
33173785	NBAS
33426515	STX1B
33342963	CYB5R3
34725261	NLRP12
35111581	CPA6|SCN1A
35866541	NAXD
36299850	MEFV
39553263	PCDH19
41019480	GABRB3
40956030	CSF1R
41190407	GNAO1
7744966	RAT7
8245125	ACT1
8195291	RHO1
9151668	APE1
8707826	CDC12
8892013	MTHFR
10732818	MTHFR
669721	G6PD
27555149	RYR1
15717496	HBB
21777234	PCDH19
7876346	cdc19
21452892	fer-1
9372726	MTHFR
17336710	NLRP3
32162847	FGF14
9951581	MTHFR
10100295	MTHFR
28100327	ALDH7N1
16430863	SCN1A
19809937	SCN1A
11326275	GABRG2
26684984	RYR1
17507202	SCN1A
8122109	DHFR
10903313	SSA1
30711028	ARR1
22140375	SCN1A
16797917	MTHFR
2551784	adk
36195520	LPIN1
8962066	parC
12730722	MTHFR
14610673	TNFRSF1A
27122014	APOA1BP
27618794	
22532537	SCN1A
12853640	RRF1
2671646	repA
21843600	SCN1A
24755245	PRRT2
16875263	MTHFR
6250847	alpha
25569746	SCN1A
12117478	CHAT
36438652	MagR
8642469	MTHFR
1639409	RYR1
10811616	aca
14998529	hbrB
20817056	NS5
22030266	RYR1
20675100	SCN1A
16987817	EIF5A1
26848126	NLRP3
21235902	RYR1
1850417	YCOX4
31626957	TMEM173
30968627	SCN5A
7944949	UL54
1874415	FLA10|APM1
34982449	SCN9A
24089141	pat1
1313947	SEC65
11121426	Crygs
2052544	DPB2
26283664	
35072530	SCN1A
34106054	SCN1A
16123778	TP53
1749428	
15859396	TNFRSF1A
19221029	CDK1
8257795	SEC66
34161859	NAXD
32654074	WSL9
12183066	PEX1
8825043	RYR1
9162111	PET1402
9597195	MTHFR
15260956	dap160
9106220	dnaA
10804357	MTHFR
21463272	SCN1A
20637075	RPB1
7943985	RYR1
11906212	tipE
18080732	CIAS1
22527214	NLRP3
16972263	MR-1
29895950	CCT
1652272	SRC
16232925	ECM31
25693187	
36797819	NLRC4
35047275	ATP1A3
29557500	RYR1
1329295	RYR1
17349292	MTHFR
18845387	EIF2B5
1322589	src
11927574	PRP5
24297311	HA
12065422	fin1
22240828	SCN1A
14767070	mmd1|alpha2-tubulin
34975730	ATP1A3
30582250	PCDH19
40429823	RYR1
9622215	MTHFR
9837999	DNL4
9738874	emb-5
35361806	GSR
17020904	SCN1B
15184577	BMH1
32686763	FAS
21997345	MTHFR
29246899	sep-1
21762453	SCN1A
1849679	3C
18302315	CCA1
25604069	ROM2
21050834	MTHFR
1500441	cdc2
21541511	TP53
35099006	pkd2
39119390	SCN1A
38721668	SCN5A
27668839	NAA10
8282687	fusA
34174751	SCN1A
33339510	shibire
39440542	OsTMS16
28483396	ATP1A3
22705271	SCN1A
10376845	MTHFR
15019536	MTHFR
12566275	SCN1A
31980450	HSP82|HSC82
19648156	RYR1
15238512	dnaT
18719443	RYR1
8641285	RHO1
9151423	gntS
9626480	TP53
19854600	SCN1A
8917315	glnS
40715700	OsRqc1
7968540	EtxB
19181872	Anfcp1
11860891	MTHFR
37055399	NBAS
27935186	PMA1
9890931	tpi
21940683	DNJ1
12138370	MTHFR
19289736	SCN1A
9493571	MTHFR
10488093	RPG1
34917021	SCN1A
3133659	rbcL
31486580	RNase ZS1
8901666	MTHFR
18328637	MTHFR
3177384	MTHFR
1532230	cys-3
22899724	VPS4
9624177	MSS4
22016799	DAF-16
8989110	MTHFR
12386167	KIN3|NEK2
8627688	PB2
12887442	CHRNA4
10583447	MTHFR
40737328	DCL5
9025779	TOP2
9611072	MTHFR
11133719	MTHFR
8907700	FLA10
19248194	MTHFR
10079324	RPD3
31904125	SCN1A
11567010	nusA
38834993	DCase
32705777	SON
11307798	MTHFR
33761695	RANBP2
40390331	DLD
28946922	NBAS
16432849	MTHFR
18074111	MTHFR
22080611	YPK1
10446107	MTHFR
34102571	CACNA1A
33194065	TP53
32215974	Os12g0244100
23742248	SLC19A3
27143072	PCDH19
22837193	L
12186157	MTHFR
19860872	L3/p23 protease
8758047	MTHFR
22624006	IFNG
30180405	TBC1D24
39146709	PCDH19
9163103	TP53
19653015	
26187468	HBB; HBA1/HBA2
32849737	TMS5
17023077	MTHFR
41029085	HBB
10363126	MTHFR
20825051	MTHFR
10739378	MTHFR
9213225	TP53
9247365	MTHFR
36072379	YTHDC1|YTHDC2
28441826	ATP1A3
11336184	MTHFR
