seed_pmid,seed_genes,generation_1_unique,generation_2_unique,generation_3_unique_selective,shortlisted_candidates,priority_A,priority_B,priority_C,seed_pubmed_url
11038181,MGM1|FZO1,32,799,907,629,138,104,387,https://pubmed.ncbi.nlm.nih.gov/11038181/
12486115,MPS3,40,1067,904,932,211,144,577,https://pubmed.ncbi.nlm.nih.gov/12486115/
1469052,CMD1,50,1114,1319,975,280,114,581,https://pubmed.ncbi.nlm.nih.gov/1469052/
2045414,NMT1,80,1791,1472,1137,256,178,703,https://pubmed.ncbi.nlm.nih.gov/2045414/
22718908,cdc20,71,1742,1491,1311,254,193,864,https://pubmed.ncbi.nlm.nih.gov/22718908/
26185649,UL40,40,1009,869,494,194,54,246,https://pubmed.ncbi.nlm.nih.gov/26185649/
28070485,SCN1A,21,452,819,595,214,98,283,https://pubmed.ncbi.nlm.nih.gov/28070485/
29692967,SCN1A,36,1040,972,678,237,110,331,https://pubmed.ncbi.nlm.nih.gov/29692967/
32301730,SLC6A11,40,1365,422,339,113,56,170,https://pubmed.ncbi.nlm.nih.gov/32301730/
32493688,CRLF1,5,77,62,60,37,5,18,https://pubmed.ncbi.nlm.nih.gov/32493688/
33173785,NBAS,8,276,175,214,22,34,158,https://pubmed.ncbi.nlm.nih.gov/33173785/
33426515,STX1B,18,542,798,712,220,108,384,https://pubmed.ncbi.nlm.nih.gov/33426515/
33342963,CYB5R3,23,499,33,105,5,22,78,https://pubmed.ncbi.nlm.nih.gov/33342963/
34725261,NLRP12,19,1262,519,479,77,133,269,https://pubmed.ncbi.nlm.nih.gov/34725261/
35111581,CPA6|SCN1A,56,1607,1097,884,320,137,427,https://pubmed.ncbi.nlm.nih.gov/35111581/
35866541,NAXD,37,1523,38,114,6,17,91,https://pubmed.ncbi.nlm.nih.gov/35866541/
36299850,MEFV,7,227,94,89,26,30,33,https://pubmed.ncbi.nlm.nih.gov/36299850/
39553263,PCDH19,53,1757,1382,1372,403,250,719,https://pubmed.ncbi.nlm.nih.gov/39553263/
